@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 34\nSize of the tree: 63\n','Number of leaves: 42\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 77\n','Number of leaves: 39\nSize of the tree: 72\n','Number of leaves: 32\nSize of the tree: 59\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 49\nSize of the tree: 87\n','Number of leaves: 34\nSize of the tree: 61\n','Number of leaves: 34\nSize of the tree: 62\n','Number of leaves: 51\nSize of the tree: 90\n','Number of leaves: 39\nSize of the tree: 69\n','Number of leaves: 44\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 83\n','Number of leaves: 45\nSize of the tree: 81\n','Number of leaves: 45\nSize of the tree: 80\n','Number of leaves: 46\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 43\nSize of the tree: 79\n','Number of leaves: 40\nSize of the tree: 72\n','Number of leaves: 47\nSize of the tree: 84\n','Number of leaves: 51\nSize of the tree: 91\n','Number of leaves: 48\nSize of the tree: 85\n','Number of leaves: 50\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 85\n','Number of leaves: 49\nSize of the tree: 89\n','Number of leaves: 47\nSize of the tree: 85\n','Number of leaves: 43\nSize of the tree: 77\n','Number of leaves: 54\nSize of the tree: 95\n','Number of leaves: 48\nSize of the tree: 87\n','Number of leaves: 50\nSize of the tree: 89\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 46\nSize of the tree: 84\n','Number of leaves: 53\nSize of the tree: 93\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 37\nSize of the tree: 64\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

primary-tumor,1,10,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,306,33,9,24,0,27.272727,72.727273,0,0.180124,0.070756,0.192631,87.417841,96.201904,119.367203,95.526851,23.840352,3.617188,2.894753,0.722435,32.844704,0.995294,27.515685,0.222222,2,0.25,6,0.75,18,0.777778,7,0.25,0.222222,0.235294,-0.028868,0.611111,0.494444,0.272727,0.103776,0.896224,0.727273,?,0.272727,?,?,0.758535,0.414656,?,0.272727,0.143,0,0.125,0,125,0,53392,56974,9745,96.969697,40.220386,'Number of leaves: 46\nSize of the tree: 81\n',81,46,46
primary-tumor,1,1,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.335391,0.066481,0.181892,82.051614,90.735516,123.359811,93.050028,30.309782,3.62823,2.736766,0.891464,38.968819,1.146142,31.589558,0.888889,8,0.28,7,0.72,18,0.111111,1,0.533333,0.888889,0.666667,0.541012,0.888889,0.715807,0.441176,0.105445,0.894555,0.558824,?,0.441176,?,?,0.783716,0.46903,?,0.441176,0.331,0,0.296875,0,296.875,0,51956,56801,9918,94.117647,42.647059,'Number of leaves: 43\nSize of the tree: 79\n',79,43,43
primary-tumor,1,2,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.388,0.06538,0.180164,80.766212,89.964624,121.456066,92.013258,29.442808,3.572237,2.706272,0.865965,39.422085,1.159473,32.457897,0.777778,7,0.2,5,0.8,20,0.222222,2,0.583333,0.777778,0.666667,0.533396,0.871111,0.748133,0.470588,0.077022,0.922978,0.529412,?,0.470588,?,?,0.794877,0.539634,?,0.470588,0.329,0,0.265625,0,265.625,0,52742,56801,9918,91.176471,40.909091,'Number of leaves: 45\nSize of the tree: 80\n',80,45,45
primary-tumor,1,3,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.377416,0.064553,0.183206,79.752366,91.493862,121.233674,91.019143,30.214531,3.565696,2.677034,0.888663,41.415676,1.218108,34.161859,0.777778,7,0.24,6,0.76,19,0.222222,2,0.538462,0.777778,0.636364,0.488217,0.828889,0.629935,0.470588,0.093653,0.906347,0.529412,?,0.470588,?,?,0.830686,0.42658,?,0.470588,0.264,0,0.25,0,250,0,47950,56801,9918,91.176471,38.770053,'Number of leaves: 40\nSize of the tree: 72\n',72,40,40
primary-tumor,1,4,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.381818,0.063173,0.175231,77.670384,87.03654,122.999558,1157.532436,-1034.532878,3.617634,34.045072,-30.427438,43.21875,1.27114,35.137321,0.75,6,0.307692,8,0.692308,18,0.25,2,0.428571,0.75,0.545455,0.381221,0.913462,0.860965,0.470588,0.096145,0.903855,0.529412,?,0.470588,?,?,0.807226,0.560104,?,0.470588,0.321,0.001,0.265625,0,265.625,0,55070,56801,9918,91.176471,41.44385,'Number of leaves: 47\nSize of the tree: 84\n',84,47,47
primary-tumor,1,5,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,14,20,0,41.176471,58.823529,0,0.324056,0.068061,0.187362,83.412631,92.729494,129.184627,1176.965721,-1047.781094,3.799548,34.616639,-30.817091,37.301587,1.097106,28.874633,0.75,6,0.230769,6,0.769231,20,0.25,2,0.5,0.75,0.6,0.460882,0.889423,0.684167,0.411765,0.087403,0.912597,0.588235,?,0.411765,?,?,0.775819,0.378729,?,0.411765,0.372,0,0.3125,0,312.5,0,59212,56801,9918,85.294118,41.84492,'Number of leaves: 51\nSize of the tree: 91\n',91,51,51
primary-tumor,1,6,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.394659,0.065891,0.181963,80.75318,90.057015,129.184627,105.04411,24.140517,3.799548,3.089533,0.710015,40.50928,1.191449,31.357663,0.75,6,0.230769,6,0.769231,20,0.25,2,0.5,0.75,0.6,0.460882,0.870192,0.712054,0.470588,0.079571,0.920429,0.529412,?,0.470588,?,?,0.815286,0.508617,?,0.470588,0.256,0.001,0.171875,0,171.875,0,59212,56801,9918,85.294118,40.106952,'Number of leaves: 51\nSize of the tree: 91\n',91,51,51
primary-tumor,1,7,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,12,22,0,35.294118,64.705882,0,0.264503,0.069685,0.192096,85.540332,95.242898,127.398302,1171.502171,-1044.103869,3.747009,34.455946,-30.708937,33.098153,0.973475,25.980058,0.25,2,0.307692,8,0.692308,18,0.75,6,0.2,0.25,0.222222,-0.053709,0.608173,0.390912,0.352941,0.105379,0.894621,0.647059,?,0.352941,?,?,0.738027,0.387572,?,0.352941,0.331,0,0.296875,0,296.875,0,55720,56801,9918,85.294118,37.834225,'Number of leaves: 48\nSize of the tree: 85\n',85,48,48
primary-tumor,1,8,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.347475,0.066538,0.181824,81.701883,90.180116,126.813339,1167.553354,-1040.740015,3.729804,34.339805,-30.61,39.525422,1.162512,31.168189,0.75,6,0.384615,10,0.615385,16,0.25,2,0.375,0.75,0.5,0.310517,0.788462,0.771078,0.441176,0.107225,0.892775,0.558824,?,0.441176,?,?,0.772364,0.5063,?,0.441176,0.295,0,0.203125,0,203.125,0,57020,56801,9918,88.235294,41.31016,'Number of leaves: 50\nSize of the tree: 87\n',87,50,50
primary-tumor,1,9,weka.classifiers.trees.MIT,'-C 0.25 -M 128 -I 64 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.352705,0.067358,0.184754,82.708021,91.632943,126.813339,1167.314589,-1040.501249,3.729804,34.332782,-30.602978,36.005999,1.059,28.392912,0.75,6,0.269231,7,0.730769,19,0.25,2,0.461538,0.75,0.571429,0.41965,0.776442,0.598535,0.441176,0.092653,0.907347,0.558824,?,0.441176,?,?,0.761884,0.467362,?,0.441176,0.329,0,0.28125,0,281.25,0,55720,56801,9918,85.294118,40.106952,'Number of leaves: 48\nSize of the tree: 85\n',85,48,48
